accx,accy,accz,gx,gy,gz,g,ax,ay,az,a
-10.02,0.31,-0.27,-10.08,0.26,-0.22,10.08,0.05,0.05,-0.05,0.09
-10.02,0.31,-0.82,-10.07,0.27,-0.34,10.07,0.04,0.04,-0.48,0.48
-10.26,0.08,-0.27,-10.1,0.23,-0.33,10.11,-0.15,-0.16,0.05,0.23
-9.91,0.12,0.23,-10.06,0.21,-0.22,10.07,0.16,-0.09,0.45,0.49
-10.1,0.12,-0.47,-10.07,0.19,-0.27,10.08,-0.03,-0.08,-0.2,0.22
-10.26,0.04,0.23,-10.11,0.16,-0.17,10.11,-0.15,-0.12,0.4,0.44
-9.98,0,0.12,-10.08,0.13,-0.11,10.09,0.1,-0.13,0.23,0.28
-9.87,0.39,-0.39,-10.04,0.18,-0.17,10.04,0.17,0.21,-0.22,0.35
-10.14,0.27,-0.55,-10.06,0.2,-0.24,10.07,-0.08,0.07,-0.3,0.32
-10.02,0.19,0.04,-10.05,0.2,-0.19,10.06,0.03,0,0.22,0.23
-10.26,0.08,-0.08,-10.09,0.17,-0.16,10.1,-0.16,-0.1,0.09,0.21
-9.83,0.16,0.08,-10.04,0.17,-0.12,10.04,0.21,-0.01,0.19,0.29
-9.91,0.35,-0.23,-10.01,0.21,-0.14,10.02,0.11,0.14,-0.09,0.2
-10.06,0.31,-0.86,-10.02,0.23,-0.28,10.03,-0.04,0.08,-0.58,0.58
-9.87,0.08,0.12,-9.99,0.2,-0.2,10,0.13,-0.12,0.32,0.36
-9.98,0.43,-0.27,-9.99,0.24,-0.22,10,0.01,0.18,-0.06,0.19
-10.14,0.12,0.16,-10.02,0.22,-0.14,10.02,-0.12,-0.1,0.3,0.34
-9.91,0.27,-0.12,-10,0.23,-0.14,10,0.09,0.04,0.02,0.1
-10.14,0.39,-0.9,-10.03,0.26,-0.29,10.03,-0.11,0.13,-0.61,0.63
-9.94,0.16,0,-10.01,0.24,-0.23,10.02,0.06,-0.08,0.23,0.25
-9.87,0.31,-0.31,-9.98,0.25,-0.25,9.99,0.11,0.06,-0.06,0.14
-10.45,0.12,-1.05,-10.08,0.23,-0.41,10.09,-0.38,-0.11,-0.64,0.75
-9.91,0.23,-0.94,-10.04,0.23,-0.51,10.06,0.14,0.01,-0.42,0.44
-10.1,0.04,-0.43,-10.05,0.19,-0.5,10.07,-0.05,-0.15,0.07,0.17
-10.22,0.31,-0.86,-10.09,0.21,-0.57,10.1,-0.13,0.1,-0.29,0.33
-10.06,0.16,-0.7,-10.08,0.2,-0.6,10.1,0.02,-0.05,-0.11,0.12
-10.06,0.47,-1.13,-10.08,0.26,-0.7,10.11,0.02,0.21,-0.43,0.48
-9.87,0.43,-1.64,-10.04,0.29,-0.89,10.08,0.17,0.14,-0.75,0.78
-10.14,0.43,-1.44,-10.06,0.32,-1,10.11,-0.08,0.11,-0.44,0.46
-10.06,0.23,-2.34,-10.06,0.3,-1.27,10.14,0,-0.07,-1.07,1.07
-10.14,0.19,-1.48,-10.07,0.28,-1.31,10.16,-0.07,-0.09,-0.17,0.2
-10.34,0.74,-1.33,-10.13,0.37,-1.31,10.22,-0.21,0.37,-0.01,0.42
-10.22,0.82,-0.78,-10.14,0.46,-1.21,10.23,-0.07,0.36,0.43,0.56
-9.83,0.23,-1.17,-10.08,0.42,-1.2,10.16,0.25,-0.18,0.03,0.31
-10.45,0.35,-1.37,-10.16,0.4,-1.23,10.24,-0.3,-0.05,-0.13,0.33
-9.4,0.86,-1.48,-10,0.49,-1.28,10.1,0.61,0.36,-0.2,0.73
-10.49,1.01,-0.74,-10.1,0.6,-1.17,10.19,-0.39,0.42,0.43,0.72
-9.79,1.09,-0.94,-10.04,0.7,-1.13,10.13,0.25,0.4,0.19,0.5
-11.27,1.21,-1.09,-10.29,0.8,-1.12,10.38,-0.99,0.41,0.03,1.07
-9.09,1.25,-1.09,-10.05,0.89,-1.11,10.15,0.96,0.36,0.02,1.02
-10.61,2.03,-1.01,-10.16,1.12,-1.09,10.28,-0.45,0.91,0.08,1.02
-9.56,1.83,-0.35,-10.04,1.26,-0.95,10.16,0.48,0.57,0.59,0.96
-8.81,1.64,-1.09,-9.79,1.34,-0.97,9.93,0.98,0.3,-0.12,1.03
-10.49,1.75,-0.12,-9.93,1.42,-0.8,10.07,-0.56,0.34,0.69,0.95
-10.57,1.87,-0.39,-10.06,1.51,-0.72,10.2,-0.51,0.36,0.33,0.71
-9.4,1.48,0,-9.93,1.5,-0.58,10.06,0.53,-0.02,0.58,0.78
-10.41,1.64,-0.51,-10.02,1.53,-0.56,10.16,-0.39,0.11,0.06,0.41
-10.65,1.25,0,-10.15,1.47,-0.45,10.27,-0.5,-0.23,0.45,0.71
-9.71,0.98,-0.43,-10.06,1.37,-0.45,10.16,0.35,-0.4,0.02,0.53
-9.48,0.31,-0.94,-9.94,1.16,-0.54,10.03,0.47,-0.85,-0.39,1.05
-10.96,0.39,-0.98,-10.15,1.01,-0.63,10.22,-0.81,-0.62,-0.34,1.08
-9.83,-0.16,-1.01,-10.08,0.77,-0.71,10.14,0.26,-0.93,-0.31,1.01
-9.98,-0.82,-0.7,-10.06,0.46,-0.71,10.1,0.08,-1.28,0,1.28
-9.94,-0.94,0.04,-10.04,0.18,-0.56,10.06,0.09,-1.11,0.6,1.27
-9.94,-1.37,0,-10.02,-0.13,-0.45,10.03,0.08,-1.23,0.45,1.31
-10.02,-1.4,0.08,-10.02,-0.39,-0.34,10.03,0,-1.02,0.42,1.1
-10.26,-1.72,-0.23,-10.07,-0.65,-0.32,10.09,-0.19,-1.06,0.09,1.08
-10.1,-2.14,-0.31,-10.07,-0.95,-0.32,10.12,-0.03,-1.19,0.01,1.2
-9.87,-2.22,-0.35,-10.03,-1.2,-0.32,10.11,0.17,-1.02,-0.03,1.03
-10.65,-2.46,0.16,-10.16,-1.46,-0.23,10.26,-0.49,-1,0.38,1.18
-10.49,-2.5,0.86,-10.22,-1.66,-0.01,10.36,-0.27,-0.83,0.87,1.23
-10.06,-1.6,-0.12,-10.19,-1.65,-0.03,10.32,0.13,0.05,-0.08,0.16
-10.34,-1.01,-0.9,-10.22,-1.52,-0.21,10.33,-0.12,0.51,-0.69,0.87
-7.33,-1.01,-1.33,-9.64,-1.42,-0.43,9.76,2.31,0.41,-0.9,2.51
-11.23,-1.44,-0.86,-9.96,-1.43,-0.52,10.07,-1.27,-0.02,-0.34,1.32
-9.71,-1.29,-0.78,-9.91,-1.4,-0.57,10.02,0.2,0.11,-0.21,0.31
-10.92,0.55,-0.12,-10.11,-1.01,-0.48,10.17,-0.81,1.56,0.36,1.79
-10.88,-0.39,-0.12,-10.27,-0.89,-0.41,10.31,-0.62,0.5,0.29,0.84
-10.65,-0.43,0.12,-10.34,-0.79,-0.3,10.38,-0.3,0.37,0.42,0.63
-11.04,-0.08,0.31,-10.48,-0.65,-0.18,10.5,-0.56,0.57,0.49,0.94
-10.92,-0.19,-2.22,-10.57,-0.56,-0.59,10.6,-0.35,0.36,-1.64,1.71
-8.5,-0.19,1.44,-10.16,-0.49,-0.18,10.17,1.65,0.29,1.62,2.34
-11.04,0,0.94,-10.33,-0.39,0.04,10.34,-0.71,0.39,0.89,1.2
-9.67,-0.27,-0.27,-10.2,-0.37,-0.02,10.21,0.53,0.09,-0.25,0.59
-9.98,-0.58,0,-10.16,-0.41,-0.02,10.16,0.17,-0.18,0.02,0.25
-9.98,-1.44,-0.23,-10.12,-0.62,-0.06,10.14,0.14,-0.83,-0.17,0.86
-10.57,-1.87,-0.31,-10.21,-0.87,-0.11,10.25,-0.36,-1,-0.2,1.08
-10.49,-1.4,-0.27,-10.27,-0.97,-0.14,10.31,-0.22,-0.43,-0.13,0.5
-10.02,-1.83,-1.25,-10.22,-1.15,-0.36,10.29,0.2,-0.69,-0.88,1.14
-9.79,-1.87,-0.19,-10.13,-1.29,-0.33,10.22,0.34,-0.58,0.14,0.69
-10.14,-2.5,-0.62,-10.13,-1.53,-0.39,10.26,-0.01,-0.96,-0.24,0.99
-10.1,-2.42,-0.08,-10.13,-1.71,-0.33,10.28,0.03,-0.71,0.25,0.75
-10.45,-2.42,-0.62,-10.19,-1.85,-0.39,10.37,-0.26,-0.57,-0.24,0.67
-9.4,-2.54,-1.05,-10.03,-1.99,-0.52,10.24,0.63,-0.55,-0.53,0.99
-9.75,-2.07,-0.51,-9.98,-2,-0.52,10.19,0.23,-0.06,0.01,0.24
-9.67,-1.21,0.62,-9.92,-1.84,-0.29,10.09,0.24,0.64,0.91,1.14
-10.49,-1.05,0.86,-10.03,-1.69,-0.06,10.17,-0.46,0.63,0.92,1.21
-10.88,-0.19,0.23,-10.2,-1.39,0,10.3,-0.68,1.19,0.23,1.39
-9.36,0.39,0.78,-10.03,-1.03,0.16,10.09,0.67,1.42,0.62,1.69
-10.53,0.98,0.08,-10.13,-0.63,0.14,10.15,-0.4,1.61,-0.06,1.66
-10.45,1.75,0.58,-10.2,-0.15,0.23,10.2,-0.26,1.91,0.36,1.96
-9.48,1.91,0.51,-10.05,0.26,0.28,10.06,0.58,1.65,0.22,1.76
-10.61,2.38,1.25,-10.16,0.68,0.48,10.2,-0.44,1.7,0.77,1.92
-9.83,2.22,1.52,-10.1,0.99,0.69,10.17,0.27,1.23,0.84,1.51
-9.56,2.57,1.99,-9.99,1.31,0.95,10.12,0.43,1.27,1.04,1.7
-9.63,2.89,0.94,-9.92,1.62,0.94,10.09,0.28,1.26,-0.01,1.29
-10.76,2.14,1.05,-10.09,1.73,0.97,10.28,-0.68,0.42,0.09,0.8
-10.3,1.68,1.37,-10.13,1.72,1.05,10.33,-0.17,-0.04,0.32,0.36
-9.36,2.34,0.51,-9.97,1.84,0.94,10.19,0.61,0.5,-0.43,0.9
-9.4,2.42,1.17,-9.86,1.96,0.98,10.1,0.46,0.46,0.19,0.68
-10.3,2.46,0.58,-9.95,2.06,0.9,10.2,-0.35,0.4,-0.32,0.62
-9.63,2.92,0.86,-9.88,2.23,0.9,10.17,0.25,0.69,-0.04,0.74
-9.98,1.99,0.86,-9.9,2.18,0.89,10.18,-0.08,-0.19,-0.03,0.21
-10.1,2.34,0.39,-9.94,2.21,0.79,10.22,-0.16,0.13,-0.4,0.45
-10.22,2.61,0.47,-10,2.29,0.72,10.28,-0.22,0.32,-0.26,0.46
-8.81,3.12,0.94,-9.76,2.46,0.77,10.1,0.95,0.66,0.17,1.17
-10.02,2.92,0.66,-9.81,2.55,0.75,10.17,-0.21,0.37,-0.08,0.44
-10.02,2.65,0.39,-9.86,2.57,0.67,10.21,-0.17,0.08,-0.28,0.34
-10.02,2.96,-0.23,-9.89,2.65,0.49,10.25,-0.13,0.31,-0.73,0.8
-9.94,2.69,0.31,-9.9,2.66,0.46,10.26,-0.04,0.03,-0.14,0.15
-11.31,2.77,-0.9,-10.18,2.68,0.19,10.53,-1.13,0.09,-1.08,1.57
-7.49,2.38,-0.39,-9.64,2.62,0.07,9.99,2.16,-0.24,-0.46,2.22
-12.56,3.47,-0.23,-10.23,2.79,0.01,10.6,-2.33,0.68,-0.24,2.44
-9.75,2.61,-0.86,-10.13,2.75,-0.16,10.5,0.38,-0.14,-0.69,0.8
-9.36,1.91,0.39,-9.98,2.59,-0.05,10.31,0.62,-0.68,0.44,1.02
-9.16,1.79,-1.17,-9.81,2.43,-0.28,10.11,0.65,-0.63,-0.89,1.27
-11.54,1.52,-1.13,-10.16,2.25,-0.45,10.42,-1.38,-0.73,-0.68,1.71
-9.52,0.55,-3.08,-10.03,1.91,-0.97,10.26,0.52,-1.36,-2.11,2.56
-9.36,0.78,-0.98,-9.9,1.68,-0.97,10.09,0.54,-0.9,0,1.05
-11.11,1.09,-1.4,-10.14,1.56,-1.06,10.32,-0.97,-0.47,-0.34,1.14
-9.32,0.86,-1.87,-9.98,1.42,-1.22,10.15,0.66,-0.56,-0.65,1.08
-9.75,1.05,-1.44,-9.93,1.35,-1.27,10.1,0.18,-0.3,-0.18,0.39
-10.37,1.09,-1.75,-10.02,1.3,-1.36,10.2,-0.35,-0.21,-0.39,0.57
-10.37,1.01,-1.4,-10.09,1.24,-1.37,10.26,-0.28,-0.23,-0.03,0.36
-10.37,0.51,-2.77,-10.15,1.09,-1.65,10.34,-0.23,-0.59,-1.12,1.28
-9.75,0.74,-1.33,-10.07,1.02,-1.59,10.24,0.32,-0.28,0.26,0.5
-10.1,0.31,-1.13,-10.07,0.88,-1.5,10.22,-0.03,-0.57,0.36,0.68
-9.71,-0.51,-0.66,-10,0.6,-1.33,10.11,0.29,-1.11,0.67,1.33
-10.22,0.9,0.19,-10.05,0.66,-1.02,10.12,-0.17,0.23,1.22,1.25
-9.63,0.31,0.23,-9.96,0.59,-0.77,10.01,0.33,-0.28,1.01,1.1
-9.87,-0.04,-0.27,-9.94,0.47,-0.67,9.98,0.08,-0.5,0.4,0.65
-9.4,0.47,-0.12,-9.83,0.47,-0.56,9.86,0.44,0,0.44,0.62
-10.76,0.62,-0.12,-10.02,0.5,-0.47,10.04,-0.74,0.13,0.36,0.83
-10.06,0.08,-0.12,-10.03,0.41,-0.4,10.05,-0.03,-0.34,0.28,0.44
-10.34,0.16,0.12,-10.09,0.36,-0.3,10.1,-0.24,-0.21,0.41,0.52
-10.76,0.35,0.16,-10.22,0.36,-0.21,10.23,-0.54,-0.01,0.36,0.65
-9.67,0.27,-0.04,-10.11,0.34,-0.17,10.12,0.44,-0.07,0.13,0.47
-10.41,0.23,-0.04,-10.17,0.32,-0.15,10.18,-0.24,-0.09,0.11,0.28
-9.79,-0.04,-0.19,-10.1,0.25,-0.16,10.1,0.31,-0.29,-0.04,0.42
-10.34,-0.39,0.39,-10.14,0.12,-0.05,10.15,-0.19,-0.51,0.44,0.7
-9.32,-0.23,0.35,-9.98,0.05,0.03,9.98,0.66,-0.28,0.32,0.78
-10.26,-0.08,0.98,-10.04,0.02,0.22,10.04,-0.22,-0.1,0.75,0.79
-11.15,-0.62,1.17,-10.26,-0.11,0.41,10.27,-0.89,-0.52,0.76,1.28
-10.02,-0.43,0.94,-10.21,-0.17,0.52,10.23,0.19,-0.26,0.42,0.53
-10.1,0.47,0.66,-10.19,-0.04,0.55,10.2,0.09,0.51,0.12,0.53
-9.13,1.01,0.98,-9.98,0.17,0.63,10,0.85,0.85,0.34,1.25
-10.18,0.47,0.78,-10.02,0.23,0.66,10.04,-0.16,0.24,0.12,0.31
-10.45,-0.04,0.86,-10.1,0.18,0.7,10.13,-0.35,-0.21,0.16,0.44
-10.34,0.08,0.62,-10.15,0.16,0.69,10.17,-0.18,-0.08,-0.06,0.21
-10.26,0.16,0.55,-10.17,0.16,0.66,10.19,-0.09,0,-0.11,0.14
-10.18,0.08,0.31,-10.17,0.14,0.59,10.19,-0.01,-0.06,-0.28,0.28
-10.34,0,-0.66,-10.21,0.11,0.34,10.21,-0.13,-0.11,-1,1.02
-9.56,0,0.51,-10.08,0.09,0.37,10.08,0.52,-0.09,0.14,0.55
-11.82,0.62,-0.74,-10.42,0.2,0.15,10.43,-1.39,0.43,-0.89,1.71
-9.01,0.31,0.55,-10.14,0.22,0.23,10.15,1.13,0.09,0.32,1.18
-9.48,0.39,-2.14,-10.01,0.25,-0.25,10.01,0.53,0.14,-1.9,1.98
-10.57,0.12,-1.37,-10.12,0.23,-0.47,10.13,-0.45,-0.11,-0.9,1.01
-10.37,0.47,-0.16,-10.17,0.27,-0.41,10.18,-0.2,0.19,0.25,0.38
-9.44,0.04,-1.05,-10.02,0.23,-0.54,10.04,0.59,-0.19,-0.52,0.8
-10.3,0.12,-1.05,-10.08,0.21,-0.64,10.1,-0.22,-0.09,-0.41,0.48
-10.1,0.47,-0.55,-10.08,0.26,-0.62,10.11,-0.02,0.21,0.07,0.22
-10.06,0.23,-0.94,-10.08,0.25,-0.68,10.11,0.02,-0.02,-0.25,0.25
-9.91,-0.12,-0.94,-10.04,0.18,-0.73,10.07,0.14,-0.3,-0.2,0.38
-10.02,0.51,-0.78,-10.04,0.24,-0.74,10.07,0.02,0.26,-0.04,0.27
-10.18,0.08,-1.05,-10.07,0.21,-0.81,10.1,-0.11,-0.13,-0.25,0.3
-9.98,0.12,-0.78,-10.05,0.19,-0.8,10.08,0.07,-0.08,0.02,0.1
-9.98,0.23,-0.43,-10.04,0.2,-0.73,10.07,0.05,0.03,0.3,0.3
-10.06,0.27,-1.01,-10.04,0.22,-0.78,10.08,-0.02,0.06,-0.23,0.24
-10.18,0.12,-0.51,-10.07,0.2,-0.73,10.1,-0.11,-0.08,0.22,0.26
-10.14,0.27,-0.86,-10.08,0.21,-0.75,10.11,-0.06,0.06,-0.1,0.13
-9.94,0.16,-0.74,-10.06,0.2,-0.75,10.09,0.11,-0.04,0.01,0.12
-9.87,0.39,-0.51,-10.02,0.24,-0.7,10.05,0.15,0.15,0.2,0.29
-10.02,0.47,-0.94,-10.02,0.28,-0.75,10.05,0,0.18,-0.19,0.26
-9.79,0.43,-0.31,-9.97,0.31,-0.66,10,0.18,0.12,0.35,0.41
-10.02,0.12,-0.74,-9.98,0.27,-0.68,10.01,-0.04,-0.16,-0.06,0.17
-9.83,0.27,-0.31,-9.95,0.27,-0.6,9.97,0.12,0,0.29,0.32
-10.22,0.08,-0.39,-10.01,0.23,-0.56,10.02,-0.21,-0.16,0.17,0.31
-9.94,0.23,-0.35,-9.99,0.23,-0.52,10.01,0.05,0,0.17,0.18
-9.94,0.43,-1.05,-9.98,0.27,-0.63,10.01,0.04,0.16,-0.43,0.46
-10.06,0.27,-1.05,-10,0.27,-0.71,10.03,-0.06,0,-0.34,0.35
-10.26,0.08,-1.01,-10.05,0.23,-0.77,10.08,-0.21,-0.16,-0.24,0.35
-9.83,0.39,-0.43,-10.01,0.27,-0.7,10.03,0.18,0.12,0.27,0.35
-10.06,0.23,-0.94,-10.02,0.26,-0.75,10.05,-0.04,-0.03,-0.19,0.19
-10.22,0.16,-0.86,-10.06,0.24,-0.77,10.09,-0.16,-0.08,-0.09,0.2
-9.87,0,-0.12,-10.02,0.19,-0.64,10.04,0.15,-0.19,0.52,0.58
-10.26,0.19,-1.4,-10.07,0.19,-0.79,10.1,-0.19,0,-0.61,0.64
-10.06,0.12,-0.43,-10.07,0.18,-0.72,10.09,0,-0.06,0.29,0.3
-9.83,0.35,-0.27,-10.02,0.21,-0.63,10.04,0.19,0.14,0.36,0.43
-9.94,0.39,-0.82,-10,0.25,-0.67,10.03,0.06,0.14,-0.15,0.22
-10.14,0.08,-0.47,-10.03,0.21,-0.63,10.05,-0.11,-0.14,0.16,0.24
-9.91,0.35,-0.47,-10.01,0.24,-0.6,10.03,0.1,0.11,0.13,0.2
-10.26,0.16,-1.33,-10.06,0.22,-0.74,10.09,-0.2,-0.07,-0.58,0.62
-9.94,0.43,-0.7,-10.03,0.26,-0.73,10.06,0.09,0.16,0.03,0.19
-10.22,0.16,-1.25,-10.07,0.24,-0.84,10.11,-0.15,-0.09,-0.41,0.45
-10.18,0.16,-0.47,-10.09,0.23,-0.76,10.12,-0.09,-0.07,0.3,0.32
-9.91,0.27,-0.19,-10.06,0.24,-0.65,10.08,0.15,0.04,0.45,0.48
-10.14,0.08,-0.9,-10.07,0.2,-0.7,10.1,-0.07,-0.13,-0.2,0.24
-9.94,0.39,-1.01,-10.05,0.24,-0.76,10.08,0.1,0.15,-0.25,0.31
-10.14,0.27,-1.37,-10.07,0.25,-0.88,10.11,-0.07,0.03,-0.48,0.49
-9.98,0.16,-0.43,-10.05,0.23,-0.79,10.08,0.07,-0.07,0.36,0.38
-9.91,0.39,-0.7,-10.02,0.26,-0.77,10.05,0.11,0.13,0.07,0.19
-10.22,0.08,-0.86,-10.06,0.22,-0.79,10.09,-0.16,-0.15,-0.07,0.23
-10.18,0.19,-0.55,-10.08,0.22,-0.74,10.11,-0.1,-0.02,0.2,0.22
-9.83,0.31,-0.08,-10.03,0.24,-0.61,10.05,0.2,0.07,0.53,0.57
-10.1,0.35,-1.09,-10.05,0.26,-0.71,10.07,-0.05,0.09,-0.39,0.4
-9.98,0,-0.66,-10.03,0.21,-0.7,10.06,0.05,-0.21,0.03,0.22
-9.79,0.55,-0.27,-9.98,0.28,-0.61,10.01,0.2,0.27,0.34,0.48
-10.02,0.47,-1.05,-9.99,0.31,-0.7,10.02,-0.03,0.15,-0.35,0.39
-10.18,0.08,-0.66,-10.03,0.27,-0.69,10.06,-0.15,-0.19,0.03,0.24
-9.79,0.23,-0.35,-9.98,0.26,-0.62,10,0.19,-0.03,0.27,0.34
-10.18,0.12,-0.86,-10.02,0.23,-0.67,10.05,-0.16,-0.11,-0.19,0.27
-10.06,0.31,-1.21,-10.03,0.25,-0.78,10.06,-0.03,0.06,-0.43,0.44
-10.26,0.16,-1.09,-10.07,0.23,-0.84,10.11,-0.18,-0.07,-0.25,0.32
-10.02,0.08,-0.55,-10.06,0.2,-0.78,10.1,0.04,-0.12,0.24,0.27
-9.91,0.43,-0.66,-10.03,0.25,-0.76,10.06,0.13,0.18,0.1,0.24
-10.06,0.35,-0.98,-10.04,0.27,-0.8,10.07,-0.02,0.08,-0.17,0.19
-10.22,0.27,-1.05,-10.07,0.27,-0.85,10.11,-0.14,0.01,-0.2,0.25
-10.18,0.08,-0.43,-10.1,0.23,-0.77,10.13,-0.08,-0.15,0.34,0.38
-9.83,0.08,-0.47,-10.04,0.2,-0.71,10.07,0.21,-0.12,0.24,0.34
-9.87,0.39,-0.86,-10.01,0.24,-0.74,10.04,0.14,0.15,-0.12,0.24
-10.02,0.16,-0.23,-10.01,0.22,-0.64,10.03,-0.01,-0.07,0.4,0.41
-10.06,0.19,-0.39,-10.02,0.22,-0.59,10.04,-0.04,-0.02,0.2,0.2
-10.02,0.23,-0.9,-10.02,0.22,-0.65,10.04,0,0.01,-0.25,0.25
-9.79,0.23,-0.43,-9.97,0.22,-0.61,10,0.19,0.01,0.18,0.26
-9.98,0.51,-0.82,-9.98,0.28,-0.65,10,-0.01,0.23,-0.17,0.28
-9.79,0.35,-0.35,-9.94,0.29,-0.59,9.96,0.15,0.06,0.24,0.29
-10.26,0.19,-0.82,-10,0.27,-0.63,10.03,-0.25,-0.08,-0.18,0.32
-10.18,0.08,-0.19,-10.04,0.23,-0.55,10.06,-0.14,-0.16,0.35,0.41
-9.87,0.12,-0.16,-10,0.21,-0.47,10.02,0.14,-0.09,0.31,0.35
-9.87,0.16,-0.23,-9.98,0.2,-0.42,9.99,0.11,-0.04,0.19,0.22
-9.94,0.39,-0.9,-9.97,0.24,-0.52,9.99,0.03,0.15,-0.38,0.41
-10.18,0.16,-1.56,-10.01,0.22,-0.73,10.04,-0.17,-0.07,-0.83,0.85
-10.22,0.12,-0.78,-10.05,0.2,-0.74,10.08,-0.16,-0.08,-0.04,0.19
-9.91,0.27,-0.23,-10.02,0.22,-0.64,10.05,0.12,0.06,0.4,0.42
-10.02,0.47,-0.98,-10.02,0.27,-0.7,10.05,0,0.2,-0.27,0.34
-10.14,0.35,-1.17,-10.05,0.28,-0.8,10.08,-0.09,0.07,-0.37,0.39
-10.22,0.04,-1.09,-10.08,0.23,-0.86,10.12,-0.14,-0.2,-0.24,0.34
-10.1,0.16,-0.47,-10.09,0.22,-0.78,10.12,-0.02,-0.06,0.31,0.32
-10.06,0.23,-0.98,-10.08,0.22,-0.82,10.12,0.02,0.01,-0.16,0.16
-10.18,0.12,-0.43,-10.1,0.2,-0.74,10.13,-0.08,-0.08,0.31,0.33
-10.1,0.27,-0.98,-10.1,0.22,-0.79,10.13,0,0.06,-0.19,0.2
-10.02,0.47,-0.82,-10.08,0.27,-0.79,10.12,0.06,0.2,-0.03,0.21
-10.26,0.12,-1.52,-10.12,0.24,-0.94,10.17,-0.14,-0.12,-0.58,0.61
-10.22,0.12,-0.39,-10.14,0.21,-0.83,10.18,-0.08,-0.1,0.44,0.46
-9.98,0.27,-0.19,-10.11,0.22,-0.7,10.13,0.12,0.05,0.51,0.52
-10.26,0.23,-1.29,-10.14,0.23,-0.82,10.17,-0.12,0.01,-0.47,0.48
-10.18,0.08,-0.51,-10.15,0.2,-0.76,10.18,-0.03,-0.12,0.25,0.28
-10.22,0.12,-1.05,-10.16,0.18,-0.82,10.19,-0.06,-0.06,-0.24,0.25
-9.98,0.47,-0.66,-10.13,0.24,-0.79,10.16,0.14,0.23,0.12,0.3
-10.18,0.27,-1.17,-10.14,0.25,-0.86,10.18,-0.04,0.03,-0.31,0.31
-10.18,0.16,-0.58,-10.14,0.23,-0.81,10.18,-0.03,-0.07,0.22,0.24
-10.18,0.16,-0.43,-10.15,0.21,-0.73,10.18,-0.03,-0.06,0.3,0.31
-9.83,0.12,-0.51,-10.09,0.19,-0.69,10.11,0.26,-0.08,0.18,0.32
-10.18,0.16,-1.29,-10.11,0.19,-0.81,10.14,-0.07,-0.03,-0.48,0.49
-10.26,0.04,-0.47,-10.14,0.16,-0.74,10.16,-0.12,-0.12,0.27,0.32
-9.94,0.43,-1.05,-10.1,0.21,-0.8,10.13,0.15,0.22,-0.25,0.37
-10.18,0.23,-1.64,-10.11,0.22,-0.97,10.16,-0.07,0.02,-0.67,0.67
-10.3,0.04,-0.7,-10.15,0.18,-0.92,10.19,-0.15,-0.14,0.21,0.29
-9.87,0.23,-0.55,-10.09,0.19,-0.84,10.13,0.23,0.04,0.3,0.37
-10.18,0.23,-0.94,-10.11,0.2,-0.86,10.15,-0.07,0.03,-0.08,0.11
-9.91,0.12,-0.7,-10.07,0.18,-0.83,10.11,0.16,-0.07,0.13,0.22
-10.26,0.16,-1.4,-10.11,0.18,-0.94,10.15,-0.15,-0.02,-0.46,0.48
-10.26,0.16,-0.58,-10.14,0.17,-0.87,10.18,-0.12,-0.02,0.29,0.31
-9.98,0.19,-0.19,-10.11,0.18,-0.74,10.13,0.12,0.02,0.54,0.56
-9.79,0.39,-0.43,-10.04,0.22,-0.68,10.07,0.25,0.17,0.25,0.39
-10.02,0.35,-0.94,-10.04,0.25,-0.73,10.07,0.02,0.1,-0.21,0.23
-10.26,0.12,-1.44,-10.08,0.22,-0.87,10.12,-0.17,-0.1,-0.57,0.61
-10.06,0.08,-0.78,-10.08,0.19,-0.85,10.12,0.02,-0.11,0.07,0.14
-9.83,0.43,-0.39,-10.03,0.24,-0.76,10.06,0.2,0.19,0.37,0.46
-10.14,0.19,-0.9,-10.05,0.23,-0.79,10.08,-0.09,-0.04,-0.11,0.15
-10.1,0.19,-0.47,-10.06,0.22,-0.72,10.09,-0.04,-0.03,0.26,0.26
-9.94,0.16,-0.31,-10.04,0.21,-0.64,10.06,0.09,-0.05,0.33,0.35
-9.91,0.39,-0.66,-10.01,0.25,-0.65,10.04,0.11,0.14,-0.02,0.18
-10.14,0.35,-0.7,-10.04,0.27,-0.66,10.06,-0.1,0.08,-0.05,0.14
-10.3,0.16,-0.98,-10.09,0.24,-0.72,10.12,-0.21,-0.09,-0.25,0.34
-10.14,0.23,-1.05,-10.1,0.24,-0.79,10.13,-0.04,-0.01,-0.27,0.27
-9.87,0.31,-0.43,-10.05,0.26,-0.72,10.08,0.19,0.06,0.29,0.35
-10.06,0.31,-1.05,-10.05,0.27,-0.78,10.09,-0.01,0.04,-0.27,0.27
-10.22,0.27,-1.21,-10.09,0.27,-0.87,10.13,-0.13,0,-0.34,0.37
-10.1,0.12,-0.62,-10.09,0.24,-0.82,10.13,-0.01,-0.12,0.2,0.23
-9.79,0.43,-0.51,-10.03,0.28,-0.76,10.06,0.24,0.15,0.25,0.38
-10.1,0.27,-0.86,-10.04,0.28,-0.78,10.08,-0.06,0,-0.08,0.1
-10.22,0.19,-0.7,-10.08,0.26,-0.76,10.11,-0.14,-0.06,0.06,0.16
-10.06,0.08,-0.74,-10.08,0.22,-0.76,10.11,0.01,-0.15,0.02,0.15
